student_id,SS1_result_avg,SS2_result_avg,SS3_mock_result,absences,studytime,extra_tutoring,school_support,internet_access,CBT_preparation,health_status,wants_higher_education,wants_trade,CBT_outcome
148,63,53,Pass,4,4,yes,no,yes,yes,Average,yes,no,Low
149,64,51,Pass,3,3,yes,yes,no,yes,Good,yes,no,Low
150,63,65,Fail,4,1,no,no,yes,yes,Very Good,yes,no,High
151,41,51,Fail,2,2,no,yes,no,yes,Very Poor,yes,no,Low
152,50,66,Pass,7,3,yes,no,no,yes,Good,yes,no,High
153,63,58,Pass,7,2,no,yes,no,no,Poor,yes,no,Low
154,55,52,Pass,2,3,no,no,yes,yes,Very Poor,yes,yes,Low
155,44,64,Pass,4,2,yes,no,no,yes,Very Good,no,no,Low
156,59,50,Pass,4,3,yes,no,no,yes,Average,yes,no,Low
157,47,64,Pass,5,2,no,yes,yes,yes,Poor,yes,no,High
158,72,60,Fail,6,2,yes,yes,yes,yes,Average,yes,yes,High
159,70,52,Fail,6,4,no,yes,yes,yes,Average,no,no,High
160,61,63,Pass,8,3,no,no,yes,no,Average,yes,yes,Low
161,68,63,Pass,4,1,yes,no,yes,yes,Good,yes,no,Low
162,55,69,Fail,1,4,no,no,yes,yes,Very Good,yes,no,High
163,62,67,Fail,4,2,yes,yes,no,yes,Very Poor,no,no,High
164,69,62,Fail,6,3,yes,no,no,yes,Poor,yes,yes,High
165,57,46,Pass,3,2,yes,no,no,yes,Very Poor,no,no,High
166,52,82,Pass,4,2,yes,yes,no,yes,Very Poor,yes,no,High
167,37,43,Pass,1,2,no,no,no,yes,Very Good,yes,no,Low
168,54,67,Fail,7,2,yes,yes,no,yes,Very Good,yes,no,High
169,63,62,Pass,2,4,no,no,no,yes,Good,yes,no,High
170,64,46,Pass,9,4,yes,no,yes,yes,Good,yes,no,High
171,60,56,Pass,6,2,yes,no,yes,no,Good,yes,no,Low
172,49,57,Pass,5,1,yes,no,no,no,Very Poor,yes,no,Low
173,35,71,Fail,10,4,yes,yes,yes,yes,Poor,yes,no,High
174,50,50,Pass,7,2,yes,no,yes,yes,Average,yes,no,High
175,51,55,Fail,5,2,no,yes,yes,yes,Good,yes,yes,High
176,51,34,Pass,4,2,yes,yes,no,no,Average,yes,yes,Low
177,61,75,Pass,11,2,no,no,yes,yes,Average,yes,no,Low
178,74,47,Pass,4,2,yes,no,no,yes,Poor,yes,no,Low
179,56,61,Pass,3,3,no,yes,yes,yes,Good,yes,no,High
180,52,56,Pass,1,2,no,yes,no,yes,Very Good,yes,no,High
181,52,57,Fail,7,4,yes,no,no,yes,Average,yes,yes,High
182,56,66,Fail,5,2,no,yes,yes,yes,Good,yes,no,High
183,46,74,Pass,7,2,yes,no,no,yes,Average,yes,no,Low
184,56,60,Pass,5,2,no,yes,no,no,Good,yes,no,High
185,59,64,Fail,2,3,no,yes,no,no,Average,yes,yes,High
186,57,61,Pass,5,1,no,no,no,no,Average,yes,no,High
187,59,68,Pass,9,2,no,no,no,yes,Average,no,no,Low
188,59,53,Pass,11,3,no,no,no,no,Very Poor,no,no,Low
189,37,68,Fail,6,2,no,no,yes,no,Very Good,no,no,High
190,61,69,Pass,6,3,yes,yes,no,no,Very Good,yes,no,High
191,48,68,Pass,3,4,no,no,yes,yes,Average,yes,no,High
192,44,51,Pass,8,2,yes,no,yes,yes,Poor,no,no,High
193,43,56,Pass,3,2,no,no,no,yes,Good,yes,no,Low
194,59,60,Pass,8,2,no,no,yes,no,Average,yes,no,Low
195,52,44,Fail,7,3,no,yes,no,yes,Average,yes,no,Low
196,38,73,Fail,6,2,no,yes,no,yes,Very Poor,yes,yes,Low
197,59,57,Pass,6,3,no,no,no,yes,Very Good,yes,yes,Low
198,40,60,Pass,3,3,yes,yes,yes,yes,Good,no,no,Low
199,56,52,Fail,7,2,yes,no,yes,no,Good,no,no,Low
200,57,44,Fail,4,3,no,yes,no,yes,Average,yes,no,Low
201,63,51,Pass,4,2,yes,yes,no,yes,Good,no,no,High
202,72,60,Pass,10,2,no,yes,yes,no,Average,yes,yes,High
203,41,64,Pass,6,3,yes,yes,no,yes,Average,yes,yes,High
204,54,59,Pass,2,2,yes,no,no,no,Good,yes,no,Low
205,52,61,Pass,4,2,no,no,yes,yes,Very Good,yes,yes,High
206,59,54,Fail,3,3,no,no,no,yes,Very Good,yes,no,High
207,57,62,Pass,9,3,yes,yes,yes,yes,Good,yes,no,High
208,51,72,Fail,6,2,yes,no,no,yes,Good,yes,no,Low
209,50,65,Fail,3,3,yes,yes,yes,yes,Good,yes,no,Low
210,43,66,Fail,7,2,yes,no,yes,no,Very Good,no,yes,Low
211,64,60,Pass,5,4,yes,yes,no,yes,Average,yes,no,High
212,59,42,Pass,7,3,no,no,yes,yes,Poor,yes,no,High
213,64,47,Fail,7,2,no,no,no,no,Good,yes,no,High
214,51,62,Fail,2,2,yes,no,yes,yes,Very Good,no,yes,Low
215,48,57,Fail,7,3,yes,yes,no,yes,Average,yes,no,Low
216,44,62,Pass,3,4,no,no,no,yes,Good,yes,no,Low
217,58,74,Pass,7,2,no,yes,no,yes,Average,yes,yes,High
218,44,65,Fail,5,2,yes,no,yes,yes,Very Good,yes,yes,Low
219,73,70,Pass,8,1,yes,no,yes,no,Good,yes,no,High
220,41,58,Pass,3,2,yes,no,no,yes,Average,no,yes,High
221,57,49,Pass,7,3,yes,no,yes,yes,Good,yes,no,Low
222,70,57,Pass,4,1,no,yes,no,yes,Good,no,no,High
223,60,49,Pass,3,3,no,yes,no,yes,Very Good,yes,no,Low
224,56,73,Pass,3,4,no,yes,no,no,Very Good,yes,no,Low
225,45,65,Pass,2,4,no,no,yes,yes,Very Poor,yes,no,High
226,41,63,Fail,9,2,yes,no,no,no,Poor,yes,no,High
227,62,70,Pass,10,3,no,no,no,yes,Good,yes,no,High
228,70,37,Pass,7,4,yes,no,no,yes,Very Good,yes,no,Low
229,50,63,Fail,7,1,yes,no,no,no,Average,no,no,High
230,43,44,Pass,4,2,no,no,yes,yes,Very Poor,yes,yes,High
231,30,57,Pass,4,4,yes,no,no,yes,Average,yes,no,Low
232,45,54,Fail,5,2,yes,no,no,no,Average,yes,no,High
233,53,64,Fail,3,4,no,no,yes,yes,Good,yes,no,High
234,70,60,Pass,7,2,yes,yes,yes,yes,Very Poor,yes,no,High
235,61,71,Pass,4,1,no,yes,yes,yes,Poor,yes,no,High
236,58,51,Fail,4,2,yes,yes,no,no,Very Good,yes,no,High
237,50,65,Pass,4,2,no,no,no,yes,Poor,no,no,Low
238,49,59,Fail,8,2,yes,no,yes,no,Good,yes,yes,High
239,69,41,Fail,5,2,no,yes,no,yes,Average,yes,no,Low
240,57,48,Fail,3,2,yes,no,no,no,Good,yes,yes,High
241,33,56,Pass,11,2,no,yes,no,yes,Very Poor,yes,yes,Low
242,48,69,Pass,7,1,no,no,no,yes,Average,yes,yes,Low
243,46,62,Fail,5,3,yes,no,no,yes,Average,yes,yes,High
244,49,46,Pass,6,2,yes,no,no,yes,Very Good,yes,no,High
245,60,56,Pass,2,3,yes,yes,yes,yes,Average,yes,no,High
246,53,78,Fail,1,3,no,no,no,yes,Very Poor,no,no,Low
247,54,59,Pass,3,2,no,yes,no,no,Good,yes,yes,High
248,68,54,Pass,5,1,yes,no,yes,yes,Very Poor,yes,yes,High
249,48,62,Fail,7,4,no,no,yes,no,Very Good,yes,no,High
250,73,65,Pass,3,3,no,no,yes,yes,Poor,yes,no,High
251,48,53,Pass,4,1,yes,no,no,yes,Average,yes,no,Low
252,55,63,Pass,2,3,yes,no,no,no,Very Poor,yes,yes,Low
253,52,54,Fail,5,1,no,no,no,no,Average,no,yes,High
254,56,65,Pass,2,1,no,yes,no,yes,Average,yes,yes,High
255,59,59,Pass,5,2,yes,no,yes,yes,Average,yes,yes,High
256,59,62,Fail,7,1,yes,no,no,yes,Very Poor,yes,no,High
257,47,50,Fail,3,4,yes,yes,yes,yes,Very Good,yes,no,Low
258,43,49,Pass,6,4,no,no,yes,no,Good,yes,yes,High
259,80,67,Fail,3,3,no,no,yes,yes,Good,no,no,Low
260,50,57,Pass,10,1,yes,no,yes,yes,Average,yes,no,High
261,61,60,Fail,5,2,yes,no,yes,yes,Good,no,no,Low
262,38,54,Pass,3,2,yes,no,yes,yes,Poor,yes,yes,Low
263,52,66,Pass,7,2,no,yes,no,yes,Very Good,yes,no,Low
264,53,51,Fail,3,2,yes,no,yes,no,Average,yes,no,High
265,59,56,Pass,5,2,no,no,yes,yes,Good,yes,no,High
266,27,65,Pass,4,2,no,no,no,yes,Good,yes,no,Low
267,56,69,Pass,7,4,no,yes,no,no,Good,no,yes,Low
268,43,52,Fail,4,4,no,no,yes,yes,Very Good,no,no,High
269,58,77,Pass,4,2,yes,yes,yes,no,Average,yes,no,High
270,44,61,Pass,3,3,no,yes,no,yes,Good,yes,yes,Low
271,46,47,Pass,6,1,no,no,no,yes,Average,yes,no,Low
272,52,61,Pass,10,2,no,yes,yes,yes,Very Poor,no,no,High
273,44,54,Pass,3,4,yes,no,yes,no,Average,yes,no,High
274,50,62,Pass,5,3,yes,no,no,no,Good,yes,no,Low
275,43,57,Pass,4,2,no,yes,no,yes,Average,yes,no,Low
276,36,58,Pass,5,2,no,no,no,yes,Average,yes,yes,High
277,65,48,Fail,2,4,no,yes,yes,yes,Average,yes,no,High
278,42,67,Fail,3,2,no,no,yes,yes,Good,yes,no,Low
279,53,46,Fail,4,2,no,yes,no,no,Very Good,yes,no,High
280,62,46,Pass,6,4,yes,yes,no,yes,Poor,yes,no,High
281,48,61,Fail,7,2,no,no,yes,yes,Average,yes,no,High
282,46,74,Pass,4,2,no,no,no,yes,Average,yes,no,High
283,57,54,Fail,7,2,no,no,yes,yes,Average,yes,no,High
284,66,65,Pass,4,4,no,yes,no,no,Very Good,yes,no,High
285,43,68,Pass,5,3,yes,yes,yes,yes,Very Poor,yes,yes,Low
286,53,66,Pass,6,2,yes,no,no,yes,Poor,yes,no,High
287,37,54,Pass,9,1,no,no,no,yes,Good,yes,yes,High
288,51,47,Fail,3,2,yes,no,no,yes,Average,yes,yes,High
289,55,35,Fail,9,2,no,no,no,yes,Good,yes,no,High
290,46,55,Fail,6,1,no,yes,yes,no,Good,no,no,Low
291,50,69,Fail,2,2,yes,yes,no,yes,Average,yes,no,Low
292,40,46,Pass,9,1,no,no,yes,yes,Poor,yes,no,Low
293,55,65,Pass,4,4,yes,yes,no,no,Poor,no,yes,High
294,65,48,Fail,5,1,no,yes,yes,yes,Poor,yes,no,High
295,44,59,Pass,5,2,yes,yes,no,yes,Average,yes,no,High
296,48,65,Fail,4,2,no,no,no,yes,Very Good,yes,no,High
297,60,51,Pass,3,3,no,yes,yes,yes,Good,no,no,High
298,67,59,Pass,5,1,yes,no,no,yes,Very Poor,yes,yes,High
299,40,53,Fail,4,2,no,no,no,yes,Very Good,yes,no,Low
300,53,65,Pass,3,3,no,yes,no,yes,Very Poor,yes,yes,Low
301,57,60,Pass,5,4,no,no,yes,yes,Good,yes,yes,High
302,53,58,Pass,6,3,no,no,no,yes,Poor,yes,no,High
303,30,73,Fail,9,1,yes,yes,no,yes,Very Poor,yes,no,Low
304,60,64,Pass,3,1,no,yes,yes,yes,Good,yes,no,High
305,70,51,Pass,5,3,yes,yes,no,no,Average,yes,no,High
306,56,57,Pass,7,2,no,no,no,no,Average,yes,no,High
307,44,57,Pass,5,2,yes,no,no,yes,Average,yes,yes,High
308,49,58,Pass,2,4,yes,yes,no,no,Very Poor,yes,yes,High
309,72,83,Pass,5,3,yes,no,no,yes,Good,yes,yes,High
310,64,61,Fail,7,3,yes,no,no,no,Good,yes,no,High
311,61,37,Fail,8,4,no,yes,yes,yes,Very Poor,yes,no,Low
312,58,52,Pass,2,3,yes,no,yes,yes,Average,yes,no,High
313,48,38,Fail,3,3,no,yes,no,no,Average,yes,yes,High
314,52,54,Pass,6,2,yes,no,yes,no,Good,yes,yes,High
315,54,38,Pass,3,4,no,yes,no,yes,Average,yes,no,High
316,60,49,Pass,6,2,no,no,no,no,Good,yes,no,High
317,70,42,Pass,10,2,yes,yes,yes,yes,Very Good,no,yes,High
318,66,61,Pass,2,2,yes,no,yes,yes,Average,yes,no,High
319,40,58,Pass,6,1,yes,yes,no,yes,Average,no,no,High
320,57,61,Fail,5,2,yes,no,yes,yes,Good,yes,yes,Low
321,62,56,Pass,3,2,yes,yes,no,no,Average,yes,yes,High
322,61,44,Fail,4,2,yes,yes,yes,no,Average,no,no,High
323,48,63,Pass,5,2,yes,yes,no,yes,Good,yes,no,Low
324,84,77,Pass,5,2,no,yes,yes,yes,Good,no,no,Low
325,42,62,Pass,9,1,yes,no,yes,no,Average,yes,yes,Low
326,44,53,Pass,6,2,no,no,yes,yes,Poor,yes,no,Low
327,57,43,Fail,4,3,no,no,yes,yes,Average,yes,yes,High
328,76,48,Fail,3,2,yes,no,no,yes,Very Good,yes,yes,High
329,46,62,Pass,4,2,yes,yes,no,yes,Very Good,no,yes,Low
330,52,68,Fail,2,2,yes,yes,yes,no,Good,yes,no,Low
331,65,60,Fail,5,4,yes,no,yes,yes,Good,yes,no,High
332,54,65,Fail,4,3,no,no,no,yes,Poor,no,yes,Low
333,51,65,Pass,2,1,yes,no,no,no,Average,no,no,High
334,60,63,Fail,5,4,yes,no,no,yes,Poor,yes,no,High
335,57,51,Pass,11,3,yes,yes,yes,yes,Good,yes,yes,High
336,65,59,Fail,4,3,no,yes,no,yes,Average,yes,no,High
337,67,49,Pass,6,2,no,no,no,yes,Good,yes,no,Low
338,58,58,Pass,2,3,no,no,yes,no,Good,no,no,Low
339,57,61,Pass,4,2,no,yes,no,yes,Very Good,no,no,High
340,57,74,Pass,9,3,yes,no,no,no,Good,yes,no,High
341,59,44,Fail,2,4,yes,no,no,yes,Average,yes,yes,High
342,55,62,Pass,5,4,yes,no,no,yes,Average,yes,no,High
343,54,72,Pass,4,2,no,no,no,yes,Average,yes,yes,High
344,66,65,Fail,5,4,no,yes,yes,no,Poor,yes,no,High
345,70,66,Pass,3,1,yes,no,yes,yes,Poor,yes,no,High
346,39,63,Pass,4,1,yes,no,no,yes,Poor,yes,yes,High
347,55,70,Pass,5,2,yes,no,no,yes,Very Good,yes,no,Low
348,48,47,Pass,7,3,no,yes,no,yes,Poor,yes,no,Low
349,51,44,Pass,6,2,no,no,no,yes,Good,yes,no,High
350,59,57,Pass,5,2,yes,yes,no,yes,Poor,no,no,High
351,61,36,Fail,7,1,yes,yes,no,no,Very Good,yes,no,Low
352,53,70,Fail,5,3,yes,no,no,no,Average,yes,yes,Low
353,35,70,Pass,9,4,no,no,no,yes,Average,yes,no,High
354,45,53,Pass,5,3,no,no,no,yes,Average,no,yes,High
355,63,54,Pass,5,2,yes,no,no,yes,Good,no,yes,High
356,27,57,Fail,8,4,yes,no,no,yes,Poor,yes,no,High
357,66,58,Pass,4,3,yes,yes,yes,yes,Good,yes,no,High
358,60,59,Fail,2,3,no,no,yes,yes,Good,yes,no,High
359,68,63,Pass,5,3,no,no,no,no,Poor,yes,no,Low
360,53,56,Fail,3,4,no,no,yes,yes,Very Poor,yes,no,High
361,34,67,Pass,2,3,no,no,yes,yes,Good,yes,no,Low
362,59,62,Fail,5,2,yes,no,no,no,Poor,yes,no,High
363,67,51,Pass,8,2,no,no,yes,no,Very Good,yes,no,High
364,64,71,Fail,3,3,yes,no,no,yes,Poor,yes,no,High
365,48,44,Pass,4,2,yes,no,yes,yes,Good,yes,no,Low
366,55,57,Pass,11,3,no,no,yes,yes,Good,yes,no,High
367,49,67,Pass,4,2,no,no,no,yes,Good,yes,no,High
368,46,50,Fail,7,2,no,yes,no,no,Average,no,yes,High
369,64,61,Fail,1,2,no,yes,yes,no,Very Good,yes,no,High
370,43,63,Pass,3,3,no,yes,no,no,Good,yes,yes,High
371,46,49,Pass,2,3,yes,no,no,yes,Average,yes,yes,High
372,43,57,Pass,6,1,no,yes,no,yes,Good,yes,no,High
373,40,56,Fail,3,2,no,no,no,yes,Average,yes,no,High
374,56,52,Fail,5,1,no,no,yes,yes,Very Good,yes,no,Low
375,66,81,Fail,8,1,no,no,no,yes,Very Good,no,no,High
376,53,50,Pass,8,2,no,yes,yes,yes,Poor,no,yes,High
377,39,68,Fail,2,3,no,yes,yes,yes,Average,no,yes,High
378,63,54,Fail,6,4,yes,no,no,yes,Very Good,yes,no,Low
379,71,47,Fail,7,2,no,no,no,yes,Poor,yes,yes,High
380,48,59,Pass,3,2,no,no,no,yes,Very Good,yes,no,High
381,50,64,Fail,4,3,yes,no,yes,yes,Good,yes,no,High
382,60,67,Pass,8,4,no,no,no,yes,Very Poor,yes,yes,Low
383,71,73,Pass,6,4,yes,no,no,yes,Average,no,yes,High
384,49,87,Pass,5,1,yes,no,no,no,Average,yes,no,Low
385,41,60,Pass,2,2,no,no,yes,yes,Good,yes,no,Low
386,61,51,Pass,6,1,no,no,no,no,Average,yes,yes,High
387,62,62,Pass,5,3,yes,no,yes,no,Average,yes,yes,High
388,55,55,Pass,8,3,no,no,no,yes,Very Good,yes,no,Low
389,49,67,Fail,3,2,no,yes,no,yes,Very Poor,yes,no,High
390,64,45,Pass,5,4,no,no,yes,yes,Average,yes,no,High
391,60,81,Pass,4,2,no,no,yes,yes,Average,yes,no,High
392,47,66,Pass,7,4,no,no,yes,yes,Very Poor,yes,no,High
393,55,41,Fail,9,1,no,yes,no,no,Very Poor,yes,no,High
