student_id,sex,age,famsize,Pstatus,Medu,Fedu,SS1_result_avg,SS2_result_avg,SS3_mock_result,absences,studytime,extra_tutoring,school_support,internet_access,CBT_preparation,health_status,wants_higher_education,wants_trade,CBT_outcome
28,F,15,GT3,A,Masters,No schooling,43,50,Fail,6,3,no,no,yes,yes,Average,yes,no,High
29,F,16,GT3,T,Bachelor,Masters,67,54,Pass,3,2,no,no,no,yes,Average,yes,no,Low
30,M,17,LE3,A,Bachelor,No schooling,64,78,Fail,7,1,yes,no,yes,yes,Very Good,yes,no,Low
31,F,14,LE3,T,Masters,Bachelor,51,48,Pass,7,1,no,no,no,yes,Good,yes,no,High
32,M,16,LE3,A,No schooling,Bachelor,52,55,Pass,8,1,yes,yes,yes,no,Average,yes,no,High
33,M,16,LE3,A,Bachelor,PhD,53,54,Fail,6,2,no,yes,yes,yes,Good,yes,no,High
34,F,16,LE3,T,Masters,No schooling,47,55,Fail,7,1,yes,no,no,no,Good,yes,yes,High
35,F,16,GT3,T,Bachelor,Bachelor,50,54,Pass,4,2,no,yes,no,yes,Good,yes,no,High
36,F,15,GT3,T,SSCE,SSCE,52,60,Pass,7,2,no,yes,no,yes,Good,yes,no,Low
37,M,15,GT3,T,SSCE,SSCE,71,40,Fail,2,3,no,no,no,no,Average,no,no,Low
38,M,16,GT3,A,Masters,No schooling,64,68,Fail,5,4,yes,yes,no,yes,Average,yes,yes,Low
39,F,14,LE3,T,Bachelor,Bachelor,64,64,Pass,3,2,yes,no,no,no,Good,yes,no,High
40,M,13,LE3,T,Masters,SSCE,58,45,Fail,7,2,yes,yes,yes,yes,Poor,yes,no,High
41,M,16,LE3,T,Bachelor,No schooling,43,35,Pass,5,4,yes,no,yes,no,Good,yes,no,High
42,F,16,GT3,A,Bachelor,Bachelor,54,48,Pass,7,2,no,no,no,no,Average,yes,no,High
43,M,13,LE3,A,Masters,Bachelor,64,55,Pass,9,4,no,no,no,yes,Good,yes,no,High
44,F,14,LE3,T,Bachelor,Bachelor,42,83,Pass,6,1,yes,no,no,no,Average,yes,no,High
45,M,16,GT3,T,SSCE,Masters,61,63,Pass,5,4,no,no,yes,yes,Average,yes,yes,High
46,F,18,GT3,T,Bachelor,SSCE,78,39,Pass,7,2,no,no,no,yes,Good,yes,no,Low
47,M,16,LE3,T,Masters,PhD,65,51,Pass,1,1,yes,no,no,yes,Good,no,no,High
48,F,15,GT3,T,SSCE,Masters,69,57,Pass,3,4,yes,yes,no,yes,Average,yes,no,High
49,F,15,GT3,T,SSCE,SSCE,57,60,Pass,3,4,no,yes,yes,yes,Very Poor,no,no,Low
50,M,17,GT3,T,No schooling,SSCE,64,44,Pass,11,2,no,yes,no,yes,Good,no,no,Low
51,F,15,GT3,T,Masters,SSCE,47,56,Fail,4,4,no,yes,no,no,Very Good,no,no,High
52,F,15,LE3,T,No schooling,SSCE,62,50,Pass,2,1,yes,yes,no,yes,Poor,yes,no,High
53,F,15,LE3,T,Bachelor,Bachelor,61,46,Fail,5,3,yes,yes,no,no,Average,yes,yes,Low
54,F,15,GT3,T,SSCE,Bachelor,57,60,Pass,7,2,no,no,no,yes,Average,yes,no,High
55,F,16,GT3,T,SSCE,Bachelor,68,65,Pass,2,2,yes,no,yes,yes,Very Good,no,no,Low
56,F,17,GT3,T,Bachelor,SSCE,49,66,Pass,5,3,yes,yes,no,no,Poor,yes,no,High
57,M,16,GT3,T,No schooling,No schooling,53,63,Fail,2,2,no,no,no,no,Poor,yes,yes,High
58,M,15,GT3,T,Bachelor,Masters,55,53,Pass,1,1,no,no,yes,no,Poor,no,no,High
59,M,15,GT3,T,Masters,SSCE,44,65,Pass,6,2,no,no,yes,yes,Good,no,no,Low
60,M,14,GT3,A,Masters,PhD,57,61,Fail,4,2,yes,no,no,yes,Very Good,yes,no,Low
61,M,16,GT3,T,SSCE,No schooling,37,59,Fail,7,3,yes,yes,no,yes,Average,yes,yes,High
62,M,15,LE3,T,Masters,PhD,65,51,Fail,7,2,no,no,no,yes,Poor,yes,no,High
63,F,15,GT3,T,Bachelor,No schooling,55,53,Pass,6,3,no,no,yes,yes,Average,yes,no,High
64,M,19,LE3,T,Masters,SSCE,49,58,Pass,6,2,no,no,no,yes,Poor,no,no,Low
65,M,16,LE3,T,Bachelor,No schooling,46,82,Fail,6,2,no,no,no,yes,Very Poor,no,no,Low
66,F,15,GT3,T,Bachelor,Bachelor,52,61,Pass,7,2,no,no,no,no,Very Good,yes,no,High
67,M,15,LE3,T,Masters,Masters,61,51,Fail,4,3,no,no,no,no,Very Good,yes,no,Low
68,F,17,LE3,T,Masters,SSCE,60,49,Fail,9,1,yes,no,no,yes,Very Good,yes,no,High
69,M,16,LE3,T,SSCE,Masters,47,53,Fail,4,2,no,yes,yes,yes,Average,yes,no,High
70,F,14,GT3,T,SSCE,Bachelor,46,79,Pass,6,2,no,no,no,yes,Average,yes,no,High
71,F,16,GT3,T,SSCE,Bachelor,61,54,Pass,7,4,yes,no,no,yes,Good,yes,yes,High
72,M,15,GT3,T,SSCE,Masters,47,67,Fail,4,1,no,no,yes,no,Poor,no,yes,Low
73,M,17,LE3,T,SSCE,SSCE,55,54,Pass,6,3,yes,no,no,yes,Poor,no,no,High
74,F,17,GT3,A,SSCE,SSCE,56,60,Pass,2,2,no,yes,yes,no,Average,yes,yes,Low
75,F,15,GT3,T,Masters,Masters,58,65,Pass,6,1,yes,yes,no,yes,Very Good,yes,yes,Low
76,F,17,LE3,T,No schooling,Masters,63,52,Pass,4,2,yes,no,no,no,Good,yes,no,Low
77,F,16,GT3,A,Bachelor,PhD,42,51,Pass,3,1,no,yes,no,yes,Poor,yes,yes,High
78,M,16,LE3,T,SSCE,Masters,35,74,Fail,3,2,yes,yes,no,no,Very Poor,yes,no,Low
79,M,16,GT3,T,SSCE,No schooling,49,67,Pass,5,4,no,no,no,yes,Good,yes,no,High
80,M,15,GT3,T,No schooling,Masters,73,65,Pass,3,1,yes,yes,no,yes,Good,yes,no,Low
81,F,15,GT3,A,SSCE,SSCE,75,65,Pass,4,2,no,yes,no,yes,Good,yes,yes,High
82,F,17,LE3,A,Masters,PhD,73,62,Pass,3,2,no,no,no,yes,Poor,no,no,Low
83,M,15,GT3,T,Masters,SSCE,53,78,Fail,6,2,no,yes,no,yes,Average,no,yes,Low
84,M,15,GT3,T,SSCE,Bachelor,37,58,Fail,9,2,no,yes,no,no,Good,yes,no,Low
85,M,15,GT3,T,Bachelor,SSCE,31,63,Pass,5,4,no,yes,yes,yes,Very Good,yes,no,High
86,M,16,GT3,T,Bachelor,SSCE,48,43,Fail,6,1,yes,no,no,yes,Poor,yes,no,High
87,F,18,LE3,T,Masters,No schooling,53,49,Pass,4,3,yes,no,yes,no,Average,yes,yes,High
88,F,14,LE3,T,Masters,Masters,68,45,Fail,3,2,yes,yes,no,yes,Poor,yes,yes,High
89,F,16,GT3,T,Bachelor,Masters,63,70,Pass,9,2,no,yes,yes,yes,Average,yes,no,High
90,F,17,GT3,T,Bachelor,No schooling,57,32,Pass,3,2,no,no,no,no,Poor,yes,no,Low
91,M,15,GT3,T,Masters,Bachelor,46,53,Pass,9,2,yes,yes,yes,yes,Good,yes,no,Low
92,F,16,LE3,T,No schooling,Bachelor,45,28,Fail,4,1,yes,no,yes,yes,Average,yes,no,High
93,F,14,GT3,T,SSCE,SSCE,57,49,Pass,8,1,yes,no,no,no,Average,yes,no,Low
94,F,16,LE3,A,Masters,SSCE,61,53,Fail,3,2,yes,yes,no,yes,Average,yes,yes,Low
95,F,15,GT3,T,Bachelor,Masters,58,71,Pass,3,3,no,no,no,no,Very Good,yes,no,Low
96,F,16,GT3,T,Bachelor,Bachelor,44,61,Fail,5,1,no,yes,yes,yes,Good,yes,no,Low
97,F,17,GT3,T,Bachelor,SSCE,61,49,Pass,8,3,no,yes,no,yes,Very Poor,yes,no,Low
98,M,18,LE3,T,SSCE,Bachelor,59,68,Fail,3,2,yes,yes,yes,yes,Very Poor,yes,no,High
99,M,16,GT3,A,Bachelor,No schooling,44,58,Pass,4,4,no,no,no,no,Average,no,yes,Low
100,M,16,LE3,T,Bachelor,SSCE,47,58,Pass,8,2,yes,yes,no,no,Average,no,no,High
101,M,16,LE3,T,SSCE,SSCE,61,45,Fail,3,2,yes,no,yes,yes,Average,yes,no,Low
102,F,15,GT3,T,Bachelor,SSCE,52,48,Fail,3,4,no,yes,no,yes,Good,yes,yes,Low
103,M,16,GT3,T,Masters,Bachelor,70,49,Fail,2,2,yes,no,no,yes,Poor,yes,yes,High
104,F,15,LE3,A,SSCE,Masters,60,58,Pass,7,2,yes,yes,no,yes,Very Good,no,no,High
105,F,16,GT3,T,Bachelor,SSCE,50,58,Pass,2,2,yes,yes,yes,no,Very Poor,no,no,High
106,M,17,GT3,T,SSCE,SSCE,54,73,Pass,6,2,no,no,no,no,Poor,yes,yes,High
107,M,14,GT3,T,Bachelor,Bachelor,55,61,Pass,5,4,no,no,no,no,Average,yes,yes,High
108,F,17,LE3,T,SSCE,Masters,47,30,Pass,6,3,no,no,no,yes,Average,no,no,Low
109,M,17,GT3,A,Bachelor,Bachelor,45,60,Pass,2,3,no,yes,no,yes,Poor,yes,yes,High
110,M,15,LE3,T,Masters,Masters,62,43,Fail,10,4,yes,no,yes,yes,Good,yes,yes,Low
111,M,13,LE3,A,SSCE,SSCE,63,48,Fail,3,2,yes,no,yes,yes,Average,yes,no,High
112,M,15,LE3,T,Masters,Bachelor,61,49,Pass,6,1,yes,yes,yes,yes,Very Poor,yes,yes,High
113,F,17,GT3,T,PhD,No schooling,70,51,Pass,5,3,no,no,no,no,Very Good,yes,no,Low
114,F,15,LE3,T,SSCE,SSCE,49,44,Pass,7,2,yes,no,no,yes,Very Good,yes,no,High
115,F,15,LE3,T,SSCE,SSCE,71,60,Fail,6,2,no,no,no,yes,Good,yes,no,High
116,F,15,LE3,T,PhD,SSCE,45,43,Pass,7,2,yes,no,no,yes,Good,yes,no,High
117,F,16,GT3,T,PhD,Masters,44,61,Fail,4,4,no,no,no,no,Poor,yes,no,High
118,M,16,GT3,T,No schooling,Masters,37,80,Pass,7,2,no,yes,yes,no,Average,no,yes,High
119,F,15,LE3,T,No schooling,No schooling,50,44,Pass,2,3,yes,no,no,yes,Average,no,no,High
120,F,15,GT3,T,SSCE,SSCE,49,55,Fail,6,2,no,yes,no,no,Very Good,yes,no,High
121,F,15,GT3,T,PhD,SSCE,60,32,Fail,7,1,yes,no,no,yes,Average,no,no,High
122,F,15,GT3,T,SSCE,SSCE,57,54,Pass,5,3,yes,yes,yes,yes,Very Poor,no,no,Low
123,M,17,LE3,T,Bachelor,Bachelor,43,64,Pass,4,4,yes,yes,no,yes,Average,no,no,High
124,M,15,GT3,T,Masters,Masters,51,65,Fail,5,2,no,no,no,yes,Very Poor,no,no,Low
125,M,17,GT3,A,No schooling,PhD,51,58,Pass,2,2,yes,no,yes,yes,Poor,no,yes,High
126,M,17,GT3,T,Bachelor,Bachelor,37,66,Fail,8,2,yes,no,no,yes,Average,yes,yes,Low
127,F,16,LE3,A,SSCE,Masters,45,83,Fail,5,3,no,no,no,yes,Average,yes,no,High
128,F,15,GT3,T,Masters,SSCE,47,75,Fail,6,1,yes,yes,yes,yes,Very Poor,yes,yes,High
129,M,16,GT3,T,SSCE,SSCE,69,52,Pass,5,2,yes,no,yes,yes,Poor,yes,no,High
130,F,15,GT3,T,Bachelor,SSCE,56,43,Pass,6,3,no,no,no,no,Average,no,no,High
131,M,15,LE3,T,Bachelor,Bachelor,61,53,Fail,8,2,yes,no,yes,yes,Good,yes,no,Low
132,M,16,LE3,T,SSCE,Bachelor,40,48,Pass,7,2,yes,no,no,yes,Average,no,no,High
133,M,14,GT3,T,No schooling,SSCE,66,62,Pass,0,4,no,no,no,yes,Good,no,no,High
134,M,17,GT3,T,SSCE,SSCE,68,46,Fail,4,4,yes,no,yes,yes,Poor,yes,no,Low
135,F,15,LE3,T,SSCE,SSCE,35,57,Pass,7,4,yes,no,yes,yes,Poor,yes,no,High
136,M,16,GT3,T,Masters,PhD,47,66,Fail,7,2,yes,yes,no,yes,Good,yes,no,High
137,F,16,LE3,A,Masters,SSCE,59,56,Fail,2,4,no,no,yes,yes,Average,yes,yes,High
138,F,15,GT3,T,Bachelor,Bachelor,61,48,Fail,3,3,yes,yes,no,no,Average,no,no,High
139,M,16,GT3,T,Bachelor,Bachelor,48,69,Fail,9,2,yes,no,no,yes,Very Good,no,no,High
140,F,15,GT3,T,Bachelor,SSCE,51,39,Pass,7,3,yes,no,no,no,Average,yes,no,Low
141,F,16,GT3,T,Masters,Bachelor,49,54,Pass,8,1,yes,yes,yes,no,Very Poor,yes,no,High
142,M,14,LE3,T,SSCE,Masters,56,57,Fail,4,3,no,yes,no,yes,Very Good,yes,no,Low
143,F,16,GT3,T,SSCE,SSCE,66,58,Pass,2,3,yes,no,no,yes,Very Poor,yes,no,Low
144,M,17,LE3,A,SSCE,Masters,47,59,Fail,6,3,no,no,yes,yes,Good,no,no,Low
145,M,14,GT3,T,Bachelor,SSCE,65,64,Fail,2,2,no,no,yes,yes,Average,yes,no,High
146,M,15,GT3,T,SSCE,No schooling,47,57,Pass,4,3,yes,yes,no,yes,Average,yes,yes,High
147,F,16,GT3,A,SSCE,Masters,46,54,Fail,9,2,yes,yes,yes,yes,Average,yes,yes,High
148,F,16,LE3,A,No schooling,Masters,63,53,Pass,4,4,yes,no,yes,yes,Average,yes,no,Low
149,M,16,GT3,T,Bachelor,PhD,64,51,Pass,3,3,yes,yes,no,yes,Good,yes,no,Low
150,M,16,LE3,A,SSCE,Bachelor,63,65,Fail,4,1,no,no,yes,yes,Very Good,yes,no,High
151,F,16,LE3,T,SSCE,Masters,41,51,Fail,2,2,no,yes,no,yes,Very Poor,yes,no,Low
152,M,17,GT3,A,SSCE,Masters,50,66,Pass,7,3,yes,no,no,yes,Good,yes,no,High
153,M,16,GT3,T,SSCE,Masters,63,58,Pass,7,2,no,yes,no,no,Poor,yes,no,Low
154,F,15,GT3,T,Bachelor,Bachelor,55,52,Pass,2,3,no,no,yes,yes,Very Poor,yes,yes,Low
155,F,16,LE3,T,SSCE,SSCE,44,64,Pass,4,2,yes,no,no,yes,Very Good,no,no,Low
156,M,17,LE3,T,SSCE,Masters,59,50,Pass,4,3,yes,no,no,yes,Average,yes,no,Low
157,F,15,GT3,T,Bachelor,SSCE,47,64,Pass,5,2,no,yes,yes,yes,Poor,yes,no,High
158,F,15,GT3,T,SSCE,SSCE,72,60,Fail,6,2,yes,yes,yes,yes,Average,yes,yes,High
159,M,17,LE3,T,SSCE,SSCE,70,52,Fail,6,4,no,yes,yes,yes,Average,no,no,High
160,F,15,GT3,T,Masters,Bachelor,61,63,Pass,8,3,no,no,yes,no,Average,yes,yes,Low
161,M,13,GT3,T,SSCE,SSCE,68,63,Pass,4,1,yes,no,yes,yes,Good,yes,no,Low
162,F,16,GT3,T,SSCE,No schooling,55,69,Fail,1,4,no,no,yes,yes,Very Good,yes,no,High
163,F,15,GT3,T,No schooling,Masters,62,67,Fail,4,2,yes,yes,no,yes,Very Poor,no,no,High
164,F,15,GT3,T,Bachelor,SSCE,69,62,Fail,6,3,yes,no,no,yes,Poor,yes,yes,High
165,M,16,GT3,A,Bachelor,Bachelor,57,46,Pass,3,2,yes,no,no,yes,Very Poor,no,no,High
166,F,16,GT3,T,Bachelor,No schooling,52,82,Pass,4,2,yes,yes,no,yes,Very Poor,yes,no,High
167,M,16,LE3,T,Bachelor,No schooling,37,43,Pass,1,2,no,no,no,yes,Very Good,yes,no,Low
168,M,15,GT3,T,SSCE,SSCE,54,67,Fail,7,2,yes,yes,no,yes,Very Good,yes,no,High
169,M,16,GT3,T,SSCE,Bachelor,63,62,Pass,2,4,no,no,no,yes,Good,yes,no,High
170,F,15,GT3,T,Masters,No schooling,64,46,Pass,9,4,yes,no,yes,yes,Good,yes,no,High
171,F,16,LE3,T,Masters,Masters,60,56,Pass,6,2,yes,no,yes,no,Good,yes,no,Low
172,M,16,GT3,A,SSCE,SSCE,49,57,Pass,5,1,yes,no,no,no,Very Poor,yes,no,Low
173,F,15,GT3,T,Bachelor,SSCE,35,71,Fail,10,4,yes,yes,yes,yes,Poor,yes,no,High
174,M,17,LE3,T,SSCE,SSCE,50,50,Pass,7,2,yes,no,yes,yes,Average,yes,no,High
175,F,15,GT3,T,No schooling,No schooling,51,55,Fail,5,2,no,yes,yes,yes,Good,yes,yes,High
176,M,16,GT3,A,SSCE,Bachelor,51,34,Pass,4,2,yes,yes,no,no,Average,yes,yes,Low
177,F,16,LE3,T,SSCE,Masters,61,75,Pass,11,2,no,no,yes,yes,Average,yes,no,Low
178,M,17,GT3,T,Bachelor,Bachelor,74,47,Pass,4,2,yes,no,no,yes,Poor,yes,no,Low
179,F,15,GT3,T,Bachelor,SSCE,56,61,Pass,3,3,no,yes,yes,yes,Good,yes,no,High
180,M,15,GT3,T,SSCE,SSCE,52,56,Pass,1,2,no,yes,no,yes,Very Good,yes,no,High
181,M,15,LE3,T,No schooling,SSCE,52,57,Fail,7,4,yes,no,no,yes,Average,yes,yes,High
182,M,15,LE3,T,Masters,PhD,56,66,Fail,5,2,no,yes,yes,yes,Good,yes,no,High
183,F,16,GT3,A,SSCE,SSCE,46,74,Pass,7,2,yes,no,no,yes,Average,yes,no,Low
184,F,14,LE3,T,Bachelor,Bachelor,56,60,Pass,5,2,no,yes,no,no,Good,yes,no,High
185,M,14,GT3,T,SSCE,SSCE,59,64,Fail,2,3,no,yes,no,no,Average,yes,yes,High
186,F,14,LE3,T,Bachelor,SSCE,57,61,Pass,5,1,no,no,no,no,Average,yes,no,High
187,F,16,LE3,T,SSCE,SSCE,59,68,Pass,9,2,no,no,no,yes,Average,no,no,Low
188,F,17,LE3,T,No schooling,No schooling,59,53,Pass,11,3,no,no,no,no,Very Poor,no,no,Low
189,F,15,GT3,T,SSCE,Bachelor,37,68,Fail,6,2,no,no,yes,no,Very Good,no,no,High
190,M,15,GT3,T,SSCE,SSCE,61,69,Pass,6,3,yes,yes,no,no,Very Good,yes,no,High
191,M,16,LE3,T,SSCE,Bachelor,48,68,Pass,3,4,no,no,yes,yes,Average,yes,no,High
192,F,17,LE3,T,Bachelor,No schooling,44,51,Pass,8,2,yes,no,yes,yes,Poor,no,no,High
193,F,15,LE3,T,SSCE,PhD,43,56,Pass,3,2,no,no,no,yes,Good,yes,no,Low
194,F,16,GT3,A,No schooling,SSCE,59,60,Pass,8,2,no,no,yes,no,Average,yes,no,Low
195,M,16,GT3,T,Bachelor,Masters,52,44,Fail,7,3,no,yes,no,yes,Average,yes,no,Low
196,M,16,GT3,T,Bachelor,Masters,38,73,Fail,6,2,no,yes,no,yes,Very Poor,yes,yes,Low
197,F,16,GT3,T,PhD,PhD,59,57,Pass,6,3,no,no,no,yes,Very Good,yes,yes,Low
198,F,17,GT3,T,Bachelor,SSCE,40,60,Pass,3,3,yes,yes,yes,yes,Good,no,no,Low
199,F,13,LE3,A,Bachelor,Bachelor,56,52,Fail,7,2,yes,no,yes,no,Good,no,no,Low
200,F,16,GT3,T,Bachelor,SSCE,57,44,Fail,4,3,no,yes,no,yes,Average,yes,no,Low
201,F,15,LE3,T,Masters,SSCE,63,51,Pass,4,2,yes,yes,no,yes,Good,no,no,High
202,M,14,LE3,T,Masters,SSCE,72,60,Pass,10,2,no,yes,yes,no,Average,yes,yes,High
203,M,16,GT3,T,SSCE,SSCE,41,64,Pass,6,3,yes,yes,no,yes,Average,yes,yes,High
204,F,17,GT3,T,SSCE,PhD,54,59,Pass,2,2,yes,no,no,no,Good,yes,no,Low
205,F,15,GT3,T,SSCE,No schooling,52,61,Pass,4,2,no,no,yes,yes,Very Good,yes,yes,High
206,M,16,GT3,A,Bachelor,Bachelor,59,54,Fail,3,3,no,no,no,yes,Very Good,yes,no,High
207,M,17,GT3,A,Bachelor,Bachelor,57,62,Pass,9,3,yes,yes,yes,yes,Good,yes,no,High
208,F,17,LE3,T,Bachelor,SSCE,51,72,Fail,6,2,yes,no,no,yes,Good,yes,no,Low
209,M,17,GT3,T,No schooling,Bachelor,50,65,Fail,3,3,yes,yes,yes,yes,Good,yes,no,Low
210,M,16,GT3,A,Bachelor,No schooling,43,66,Fail,7,2,yes,no,yes,no,Very Good,no,yes,Low
211,F,16,GT3,T,Masters,Bachelor,64,60,Pass,5,4,yes,yes,no,yes,Average,yes,no,High
212,F,14,GT3,T,SSCE,SSCE,59,42,Pass,7,3,no,no,yes,yes,Poor,yes,no,High
213,F,15,LE3,T,Bachelor,Masters,64,47,Fail,7,2,no,no,no,no,Good,yes,no,High
214,M,15,GT3,A,SSCE,Bachelor,51,62,Fail,2,2,yes,no,yes,yes,Very Good,no,yes,Low
215,F,18,GT3,A,Masters,PhD,48,57,Fail,7,3,yes,yes,no,yes,Average,yes,no,Low
216,M,15,LE3,T,Masters,No schooling,44,62,Pass,3,4,no,no,no,yes,Good,yes,no,Low
217,M,16,GT3,T,Bachelor,SSCE,58,74,Pass,7,2,no,yes,no,yes,Average,yes,yes,High
218,F,16,GT3,T,Bachelor,SSCE,44,65,Fail,5,2,yes,no,yes,yes,Very Good,yes,yes,Low
219,F,16,GT3,T,Masters,No schooling,73,70,Pass,8,1,yes,no,yes,no,Good,yes,no,High
220,F,17,GT3,T,Bachelor,SSCE,41,58,Pass,3,2,yes,no,no,yes,Average,no,yes,High
221,F,15,LE3,T,SSCE,Bachelor,57,49,Pass,7,3,yes,no,yes,yes,Good,yes,no,Low
222,F,16,LE3,T,Masters,SSCE,70,57,Pass,4,1,no,yes,no,yes,Good,no,no,High
223,M,15,LE3,A,SSCE,SSCE,60,49,Pass,3,3,no,yes,no,yes,Very Good,yes,no,Low
224,M,14,GT3,T,SSCE,Masters,56,73,Pass,3,4,no,yes,no,no,Very Good,yes,no,Low
225,M,15,LE3,T,Masters,Bachelor,45,65,Pass,2,4,no,no,yes,yes,Very Poor,yes,no,High
226,M,15,LE3,T,Bachelor,SSCE,41,63,Fail,9,2,yes,no,no,no,Poor,yes,no,High
227,F,15,GT3,T,SSCE,SSCE,62,70,Pass,10,3,no,no,no,yes,Good,yes,no,High
228,M,15,GT3,T,SSCE,SSCE,70,37,Pass,7,4,yes,no,no,yes,Very Good,yes,no,Low
229,F,14,GT3,A,SSCE,SSCE,50,63,Fail,7,1,yes,no,no,no,Average,no,no,High
230,F,15,LE3,A,SSCE,Bachelor,43,44,Pass,4,2,no,no,yes,yes,Very Poor,yes,yes,High
231,F,14,LE3,T,SSCE,SSCE,30,57,Pass,4,4,yes,no,no,yes,Average,yes,no,Low
232,F,16,LE3,T,Bachelor,Masters,45,54,Fail,5,2,yes,no,no,no,Average,yes,no,High
233,F,16,GT3,A,SSCE,Bachelor,53,64,Fail,3,4,no,no,yes,yes,Good,yes,no,High
234,F,14,GT3,T,Bachelor,Bachelor,70,60,Pass,7,2,yes,yes,yes,yes,Very Poor,yes,no,High
235,M,15,GT3,T,SSCE,SSCE,61,71,Pass,4,1,no,yes,yes,yes,Poor,yes,no,High
236,F,15,LE3,T,PhD,SSCE,58,51,Fail,4,2,yes,yes,no,no,Very Good,yes,no,High
237,M,16,GT3,A,SSCE,Bachelor,50,65,Pass,4,2,no,no,no,yes,Poor,no,no,Low
238,M,17,LE3,T,No schooling,SSCE,49,59,Fail,8,2,yes,no,yes,no,Good,yes,yes,High
239,F,14,LE3,T,No schooling,SSCE,69,41,Fail,5,2,no,yes,no,yes,Average,yes,no,Low
240,M,16,GT3,A,Bachelor,SSCE,57,48,Fail,3,2,yes,no,no,no,Good,yes,yes,High
241,F,15,GT3,T,Bachelor,SSCE,33,56,Pass,11,2,no,yes,no,yes,Very Poor,yes,yes,Low
242,F,16,LE3,T,SSCE,Bachelor,48,69,Pass,7,1,no,no,no,yes,Average,yes,yes,Low
243,F,16,LE3,T,SSCE,SSCE,46,62,Fail,5,3,yes,no,no,yes,Average,yes,yes,High
244,M,15,GT3,A,No schooling,SSCE,49,46,Pass,6,2,yes,no,no,yes,Very Good,yes,no,High
245,M,15,LE3,T,Bachelor,SSCE,60,56,Pass,2,3,yes,yes,yes,yes,Average,yes,no,High
246,F,15,LE3,A,Bachelor,Bachelor,53,78,Fail,1,3,no,no,no,yes,Very Poor,no,no,Low
247,M,17,LE3,T,SSCE,Masters,54,59,Pass,3,2,no,yes,no,no,Good,yes,yes,High
248,F,16,LE3,T,SSCE,Masters,68,54,Pass,5,1,yes,no,yes,yes,Very Poor,yes,yes,High
